Ano de exibição,Título da obra,Público no ano de exibição,Renda (R$) no ano de exibição,Gênero
2019,Amor Em Jogo,294.0,4880.0,Ficção
2019,Amor À Segunda Vista,18505.0,286175.0,Ficção
2019,Amores De Chumbo,73.0,425.0,Ficção
2019,Angry Birds 2 - O Filme,891264.0,12436382.0,Animação
2019,Animais Fantásticos: Os Crimes De Grindelwald,1071.0,16148.0,Ficção
2019,Anna - O Perigo Tem Nome,100442.0,1704122.0,Ficção
2019,Annabelle 3: De Volta Para Casa,1782048.0,26401779.0,Ficção
2019,Anos 90,3854.0,60885.0,Ficção
2019,Antes Que Tudo Desapareça,4.0,28.0,Ficção
2019,Antártica Por Um Ano,484.0,7712.0,Documentário
2019,Antônio Um Dois Três,742.0,7984.0,Ficção
2019,Aquaman,2919358.0,46807467.0,Ficção
2019,Aquarius,158.0,1366.0,Ficção
2019,Arranha-Céu : Coragem Sem Limite,64.0,512.0,Ficção
2019,Arábia,31.0,252.0,Ficção
2019,As Boas Maneiras,26.0,232.0,Ficção
2019,As Filhas Do Fogo,6089.0,73723.0,Ficção
2019,As Golpistas,216825.0,3358896.0,Ficção
2019,As Hiper Mulheres,15.0,166.0,Documentário
2019,As Loucuras De Rose,1447.0,22428.0,Ficção
2019,As Montanhas Se Separam,27.0,175.0,Ficção
2019,As Panteras,453400.0,6866235.0,Ficção
2019,As Rainhas Da Torcida,13493.0,245774.0,Ficção
2019,As Trapaceiras,90457.0,1581720.0,Ficção
2019,As Viúvas,271.0,4376.0,Ficção
2019,Asako I & Ii,1937.0,23600.0,Ficção
2019,Aspirantes,382.0,5223.0,Ficção
2019,Assunto De Família,60226.0,971384.0,Ficção
2019,Ayka,1512.0,18670.0,Ficção
2019,Azougue Nazaré,4145.0,36555.0,Ficção
2019,B.O.,786.0,11535.0,Ficção
2019,Bacurau,735191.0,11284729.0,Ficção
2019,Baronesa,152.0,880.0,Documentário
2019,Bate Coração,5864.0,94671.0,Ficção
2019,Beatriz,1217.0,16103.0,Ficção
2019,Benzinho,355.0,2347.0,Ficção
2019,Bio,896.0,13374.0,Ficção
2019,Bixa Travesty,6591.0,43560.0,Documentário
2019,Blitz,253.0,2391.0,Ficção
2019,Boas Intenções,6491.0,99950.0,Ficção
2019,Bohemian Rhapsody,174442.0,3537075.0,Ficção
2019,Border,29347.0,513889.0,Ficção
2019,Borrasca,309.0,4358.0,Ficção
2019,Brightburn - Filho Das Trevas,77584.0,1162959.0,Ficção
2019,Brincando Com Fogo,310681.0,4080813.0,Ficção
2019,Brinquedo Assassino,270135.0,4006857.0,Ficção
2019,Brooklyn Sem Pai Nem Mãe,10270.0,234797.0,Ficção
2019,Bruna Surfistinha,19.0,95.0,Ficção
2019,Bumblebee,895771.0,12929065.0,Ficção
2019,Cachorros,10.0,56.0,Ficção
2019,Cadáver,2332.0,23052.0,Ficção
